x,depth,litho,contacts
135,0,0,
135,1,0,
135,2,0,
135,3,0,
135,4,0,
135,5,0,
135,6,0,
135,7,0,
135,8,0,
135,9,0,
135,10,0,
135,11,0,
135,12,0,
135,13,0,
135,14,0,
135,15,0,
135,16,0,
135,17,0,
135,18,0,
135,19,0,
135,20,0,
135,21,0,
135,22,0,
135,23,0,
135,24,0,
135,25,0,
135,26,0,
135,27,0,
135,28,0,
135,29,0,
135,30,0,
135,31,0,
135,32,0,
135,33,0,
135,34,0,
135,35,0,
135,36,0,
135,37,0,
135,38,0,
135,39,0,
135,40,0,
135,41,0,
135,42,0,
135,43,0,
135,44,0,
135,45,0,
135,46,0,
135,47,0,
135,48,0,
135,49,0,
135,50,0,
135,51,0,
135,52,0,
135,53,0,
135,54,0,
135,55,0,
135,56,0,
135,57,0,
135,58,0,
135,59,0,
135,60,0,
135,61,0,
135,62,0,
135,63,0,
135,64,0,
135,65,0,
135,66,0,
135,67,0,
135,68,0,
135,69,0,
135,70,0,
135,71,0,
135,72,0,
135,73,0,
135,74,0,
135,75,0,
135,76,0,
135,77,0,
135,78,0,
135,79,0,
135,80,0,
135,81,0,
135,82,0,
135,83,0,
135,84,0,
135,85,0,
135,86,0,
135,87,0,
135,88,0,
135,89,0,
135,90,0,
135,91,0,
135,92,0,
135,93,0,
135,94,0,
135,95,0,
135,96,0,
135,97,1.0,1
135,98,1.0,
135,99,1.0,
135,100,1.0,
135,101,1.0,
135,102,1.0,
135,103,1.0,
135,104,1.0,
135,105,1.0,
135,106,1.0,
135,107,1.0,
135,108,1.0,
135,109,1.0,
135,110,1.0,
135,111,1.0,
135,112,1.0,
135,113,1.0,
135,114,1.0,
135,115,1.0,
135,116,1.0,
135,117,1.0,
135,118,1.0,
135,119,1.0,
135,120,1.0,
135,121,1.0,
135,122,1.0,
135,123,1.0,
135,124,1.0,
135,125,1.0,
135,126,1.0,
135,127,1.0,
135,128,1.0,
135,129,1.0,
135,130,1.0,
135,131,1.0,
135,132,1.0,
135,133,1.0,
135,134,1.0,
135,135,1.0,
135,136,1.0,
135,137,1.0,
135,138,1.0,
135,139,1.0,
135,140,1.0,
135,141,1.0,
135,142,1.0,
135,143,1.0,
135,144,1.0,
135,145,1.0,
135,146,1.0,
135,147,1.0,
135,148,1.0,
135,149,1.0,
135,150,1.0,
135,151,1.0,
135,152,1.0,
135,153,1.0,
135,154,1.0,
135,155,1.0,
135,156,1.0,
135,157,1.0,
135,158,1.0,
135,159,1.0,
135,160,1.0,
135,161,1.0,
135,162,1.0,
135,163,1.0,
135,164,1.0,
135,165,1.0,
135,166,1.0,
135,167,1.0,
135,168,1.0,
135,169,1.0,
135,170,1.0,
135,171,1.0,
135,172,1.0,
135,173,1.0,
135,174,1.0,
135,175,1.0,
135,176,1.0,
135,177,1.0,
135,178,1.0,
135,179,1.0,
135,180,1.0,
135,181,1.0,
135,182,1.0,
135,183,1.0,
135,184,1.0,
135,185,1.0,
135,186,1.0,
135,187,1.0,
135,188,1.0,
135,189,1.0,
135,190,1.0,
135,191,1.0,
135,192,1.0,
135,193,1.0,
135,194,1.0,1
135,195,0.0,
135,196,0.0,
135,197,0.0,
135,198,0.0,
135,199,0.0,
135,200,0.0,
135,201,0.0,
135,202,0.0,
135,203,0.0,
135,204,0.0,
135,205,0.0,
135,206,0.0,
135,207,0.0,
135,208,0.0,
135,209,0.0,
135,210,0.0,
135,211,0.0,
135,212,0.0,
135,213,0.0,
135,214,0.0,
135,215,0.0,
135,216,0.0,
135,217,0.0,
135,218,0.0,
135,219,0.0,
135,220,0.0,
135,221,0.0,
135,222,0.0,
135,223,0.0,
135,224,0.0,
135,225,0.0,
135,226,0.0,
135,227,0.0,
135,228,0.0,
135,229,0.0,
135,230,0.0,
135,231,0.0,
135,232,0.0,
135,233,0.0,
135,234,0.0,
135,235,0.0,
135,236,0.0,
135,237,0.0,
135,238,0.0,
135,239,0.0,
135,240,0.0,
135,241,0.0,
135,242,0.0,
135,243,0.0,
135,244,0.0,
135,245,0.0,
135,246,0.0,
135,247,0.0,
135,248,0.0,
135,249,0.0,
135,250,0.0,
135,251,0.0,
135,252,0.0,
135,253,0.0,
135,254,0.0,
135,255,0.0,
135,256,0.0,
135,257,0.0,
135,258,0.0,
135,259,0.0,
135,260,0.0,
135,261,0.0,
135,262,0.0,
135,263,0.0,
135,264,0.0,
135,265,0.0,
135,266,0.0,
135,267,0.0,
135,268,0.0,
135,269,0.0,
135,270,0.0,
