x,depth,litho,contacts
44,0,0,
44,1,0,
44,2,0,
44,3,0,
44,4,0,
44,5,0,
44,6,0,
44,7,0,
44,8,0,
44,9,0,
44,10,0,
44,11,0,
44,12,0,
44,13,0,
44,14,0,
44,15,0,
44,16,0,
44,17,0,
44,18,0,
44,19,0,
44,20,0,
44,21,0,
44,22,0,
44,23,0,
44,24,0,
44,25,0,
44,26,0,
44,27,0,
44,28,0,
44,29,0,
44,30,0,
44,31,0,
44,32,0,
44,33,0,
44,34,0,
44,35,0,
44,36,1,1
44,37,1,
44,38,1,
44,39,1,
44,40,1,
44,41,1,
44,42,1,
44,43,1,
44,44,1,
44,45,1,
44,46,1,
44,47,1,
44,48,1,
44,49,1,
44,50,1,
44,51,1,
44,52,1,
44,53,1,
44,54,1,
44,55,1,
44,56,1,
44,57,1,
44,58,1,
44,59,1,
44,60,1,
44,61,1,
44,62,1,
44,63,1,
44,64,1,1
44,65,0,
44,66,0,
44,67,0,
44,68,0,
44,69,0,
44,70,0,
44,71,0,
44,72,0,
44,73,0,
44,74,0,
44,75,0,
44,76,0,
44,77,0,
44,78,0,
44,79,0,
44,80,0,
44,81,0,
44,82,0,
44,83,0,
44,84,0,
44,85,0,
44,86,0,
44,87,0,
44,88,0,
44,89,0,
44,90,0,
44,91,0,
44,92,0,
44,93,0,
44,94,0,
